259488,370596
259488,370596
259488,370597
260120,236264
259488,370597
259488,349713
261499,4427
259488,370596
259488,422035
259488,259276
259488,447662
260120,236191
261120,475731
259488,11068
261499,446408
259466,422818
266360,369336
259466,422365
259696,124740
259466,386037
265067,63465
259488,370596
259489,28089
261865,381220
260035,454702
261604,365713
260947,482616
260833,368203
259488,451518
260992,476513
259489,376699
259466,230952
259488,251472
259466,307478
259489,366265
267009,307840
259488,365714
259466,211690
264243,259268
259489,11064
264604,212478
259488,231226
259472,95984
259488,89065
259489,256468
259489,782
264604,18811
259559,4427
259488,243234
259488,428966
259488,435783
261200,105292
260947,482616
259582,4427
259548,370596
259466,422017
264867,7691
259488,370596
259489,350357
260035,204491
259488,259276
259489,404384
259489,404396
259488,445211
261871,421166
259489,157983
259472,95831
259488,118904
261604,423037
259466,307545
259488,316808
265691,259267
259488,370597
264911,421956
259488,370596
262214,304142
259489,301592
259488,370597
259489,442780
259489,108611
260719,219348
259489,430817
262227,259262
259489,365968
259489,423060
259489,400287
261499,440593
260035,365713
259488,11063
259489,430237
259488,365917
259489,430843
259702,124740
261004,83977
261004,295885
259489,365546
259488,443109
259466,365793
259489,353888
260719,481023
259488,370596
260719,481019
259489,429270
259489,128409
259488,207321
261621,323489
259488,321157
259488,370596
259489,332638
259489,454218
259489,430344
259466,307580
259488,431146
259466,121670
261365,369066
259489,91753
259488,422029
259489,140222
259489,255981
259489,252523
266114,339858
259488,204796
264911,376627
260446,446220
261499,222208
259488,370596
259488,370597
259488,370597
259489,271959
267467,374185
265863,95396
263924,328211
264911,127626
259488,431266
259489,410313
259489,442794
259489,445212
259489,107594
260719,259272
259548,127627
264169,408447
262918,328239
259488,370596
264667,155937
261731,9804
259488,370597
259488,366221
259466,302378
259488,352943
267020,30107
265348,165629
259466,257272
261621,323489
259489,244787
259488,431675
259488,259269
263628,457151
261604,430506
262944,474320
261499,4427
259488,353116
259489,251864
259489,376668
260719,481023
259488,259271
259488,117698
259488,353116
259489,352941
259488,353116
259488,365793
259489,259269
261200,105292
259488,184728
260037,476507
259488,440479
259472,440738
262765,396542
259488,422035
261494,369243
259488,370597
259488,128409
259488,11065
259488,442892
264778,259272
259489,307580
260037,435468
259489,88311
259488,436494
259488,294703
259488,93675
261948,215546
259489,446006
259488,476495
259489,16589
260037,307301
260037,307237
260458,466967
259488,365843
260035,359664
261186,370400
261557,404463
266168,10041
265938,1692
260037,128410
259488,11070
261621,323489
259489,365968
259466,307301
259488,103135
259489,367878
259489,207383
259489,476513
259466,478403
260120,346594
259488,480555
266510,328019
259488,8707
261365,369066
259489,383038
260446,404590
259488,8760
259466,378205
261944,8617
259489,59475
259489,458416
264911,438782
261865,99211
259488,442816
259488,442775
259488,383656
260714,296068
259488,370596
259488,370597
259488,370597
262876,158953
259479,269325
260719,481019
260446,430771
259489,476507
260714,296041
260446,178844
260719,481023
260035,259231
259488,259276
260035,440946
259488,430825
259489,330592
260446,124747
259488,58967
261604,170807
260719,483105
265818,369238
264604,156947
260004,242930
259488,442777
266540,268827
265067,33404
260035,254313
260446,80654
259489,243041
259488,370597
259488,370596
259488,370596
259488,370596
259488,370597
259488,243041
267427,259267
259488,217311
259488,383036
259489,88428
259466,332521
